name(이름),description(설명),start_date(시작일),end_date(종료일),region(지역),detail_region(상세지역),latitude(위도),longitude(경도),fee(참가요금),organizer(주최기관),contact_phone(연락처),website_url(공식홈페이지),visitor_count(방문객수),Tag
Chuncheon Makguksu & Dakgalbi Festival,"The Chuncheon Makguksu & Dakgalbi Festival, a representative festival of Chuncheon, will be held from June 18 to 23 in the parking lot area of Legoland Korea Resort. Starting with the opening ceremony on the 18th, the festival offers a variety of attractions and hands-on programs such as a multimedia drone show and performances by popular singers, showcasing various ways to enjoy makguksu and dakgalbi in Chuncheon.

[Event Details]

Spectator Programs

Opening/closing ceremonies, performances by popular singers, local artist performances, drone light show

Participatory Programs

Makguksu speed-eating contest, Dakgalbi eating contest, Makguksu & Dakgalbi 100-serving sharing event, Makguksu Dakgalbi Black Day

Special Programs

Silver Trot Song Festival, Masked Makdak Show, Again Friendship Stage

Participatory Programs

Festival experience center, international exchange center, city promotion booth, rides, photo zones, camping zone, self-cooking dakgalbi zone, food truck zone, etc.

Costs for using makguksu and dakgalbi restaurants as well as food & sales booths are not included.",2025.10.16,2025.10.19,Gangwon,"Main venue (Gongjicheon), Regional venues (Myeongdong, Hupyeong-dong, Onui-dong)",37.89123,127.700064,free,Chuncheon City Hall,033-250-3068,https://www.mdfestival.com/,610,"Food,Senior,Summer,Music/Show,All Ages,Specialty,Join"
2025 Dancing Carnival,"The Wonju Dancing Carnival, Korea???top parade competition festival where citizens dance together, returns this year as an even more spectacular event with K-dance as its theme. Centered around K-dance, which is spreading worldwide, the festival will feature various street dances such as choreography and breaking, as well as random play dance, traditional dance, martial arts performances, and more, truly encompassing all dance genres to solidify its place as Korea???best dance festival. Alongside the rich performances, various flea markets and food markets showcasing the flavors and styles of Wonju will add to the festival???fun.

[Event Details]

Main Programs

Dancing Carnival: A heated competition stage focused on globally popular K-dance, featuring a variety of performances including dance, martial arts, and more.

Citizen Join Programs: A festival created directly by citizens (citizen judging panel, citizen planning team, volunteers)

Side Programs

Fringe Festival: A showcase stage presenting a variety of cultural and artistic genres not limited to dance (bands, orchestras, plays, etc.)

Flea Market and Food Market: Various markets introducing local flavors and styles

Playground: Beautiful rest areas and hands-on programs for visitors",2025.09.26,2025.09.28,Gangwon,Wonju Dancing Performance Venue,37.340846,127.95037,free,Wonju City Hall,033-737-5123,https://www.ddcwj.com/main.php,1165,"Food,Culture,Music/Show,Specialty,Join"
2025 Wonju Dumpling Festival,"The Wonju Dumpling Festival is the first dumpling-based festival in Korea. This year, you can taste 10 themed dumplings, including meat dumplings, kimchi dumplings, global dumplings, vegetables and exotic dumplings, Korean restaurant dumplings, Gangwon specialty dumplings, and corporate dumplings, at more than 50 dumpling booths. It also offers a fantastic attraction by presenting the Big Show, Kimchi Dumpling Making Experience, and celebrity performances that can be enjoyed by men and women of. On the last Friday and Saturday of October, you can taste delicious and diverse dumplings in Wonju and meet various programs.
[Contents of the event]
1. Main program: Celebratory performances (Ahn Sung-hoon, Kang Hye-yeon, etc.), dumpling king big show, Wonju kimchi dumpling making experience, etc
2. Additional programs: Dumpling King DJing, Dumpling King Picture Book Play, Dumpling Banjuk Playground, Start-up Dumpling Showcase, Dumpling Broadcasting Station, Autumn Concert, etc
3. Consumer Join Program: Making Kimchi Dumplings Fast, Eating Contest, Instant Singing Contest, etc
4. Other content: 10 dumpling-themed trips that you can taste at more than 50 dumpling booths!",2025.10.24,2025.10.26,Gangwon,Jungang-dong Traditional Market Area,37.349543,127.950468,free,Wonju City Hall,033-737-2924,https://mandufestival.co.kr/main.php,800,"Food,Music/Show,Nature,All Ages,Join"
2025 Gangneung Danoje Festival,"Gangneung Dano Festival is a UNESCO Intangible Cultural Heritage of Humanity and a representative festival of Korea with a thousand-year tradition, attracting more than 500,000 tourists every year. The theme of the 2025 Gangneung Dano Festival is the 20th anniversary of the selection of UNESCO's Intangible Cultural Heritage of Humanity, <20 years old, Dano> and runs for eight days from May 27 to June 3. Gangneung Dano Festival is equipped with rich programs such as the essence of traditional culture, the ""Ritual,"" the ""Gutpan"" where gods and people communicate, the largest orchard in the country is unfolded, and national designated cultural heritage, civic tour history, and folk game events.
[Contents of the event]
1. Designated Cultural Heritage Events
??debt of new shares
??Daegwallyeongsan New Festival
??Emperor Daegwallyeong of the State
??Old Mountain Book Festival
??School Mountain Book Festival
??enshrinement system
??the spirituality of God
?�?train bound for Yeongshin
??a pre-emptive system
??Dano Good
??a masquerade in government office
??a transmitting agent

2. Traditional performance
??National Intangible Heritage Performance
??a performance of the province's intangible cultural heritage
??Regional Intangible Cultural Heritage Performance
??a traditional wedding

3. Stage Performing Arts Festival
??a stage performing arts event
??Invited Performance by a Korean Art Troupe

4. a foreign guest performance
??Latvia
??Japan
??Botswana

5. a contest festival
??a nongak contest
??Gangneung dialect contest
??National Song Contest
??the National Korean Dance Festival
??National Sijo Contest for Men and Women

6. a youth-friendly yard
??Youth Song Festival
??Youth Dance Festival
??Youth Dano Madang D.Y.F

7. Dano Experience Village
??Taste Shinju, Suri Chwetteok
??cold of Changpo's head
??Making a Gag Keyring with a No-Nosurface
??Dano fan drawing
??Trying on Dano Beam
??Dano grooming
??A taste of traditional tea
??Making Dano Badges
??Exchange of new shares

8. a civic campground
??New Year's Unrestricted Event
??the Dano Deung event
??Gangneung City Residents' Self-Governing Hanmadang

9. Utilization of Gangneung Cultural Heritage
??a room spoon and chopsticks
??Buddhist wood carvings
??traditional embroidery

10. a folk game event
??a wrestling competition
??a swing contest
??a bullfight
??a tug-of-war contest
??a game of yut

11. a celebratory cultural and artistic event
??Korea's Changpoju Contest
??a student art contest
??a book review and experience writing contest
??A regular soccer match between Jeil High School and JoongAng High School
??a photo exhibition of flags

12. a side event
??�eongsan Hong Challenge
?�?short-form photo contest
??Dano 1,000 tile reminders <Continue memories>
??a firework display
??a prize draw event
??Stamp rally
??a fam tour",2025.05.27,2025.06.03,Gangwon,"Namdaecheon River Area, Gangneung",37.744866,128.875544,free,Gangneung City Hall,033-640-5580,https://www.danojefestival.or.kr/contents.asp?page=536,2655,"Food,Culture,Spring,Summer,Music/Show,Nature,Heritage,Specialty,Youth"
Gangneung International Art Festival,"""Gangneung International Arts Festival is an international art festival held in Gangneung, Gangwon-do, and it is a festival that reinterprets the historical spaces of the city as an art stage, encompassing tradition and modernity.

[Contents of the event]
1. an exhibition and performance program
1) Visual Arts Exhibition ??Various installation and media art exhibitions in urban spaces such as Gangneung Station, Okcheon-dong Warehouse, and old surgical clinics
2) Performance and Workshop ??Performances and workshops conducted by participating artists
3) Docent Tour and Talk Program ??Exhibition Gallery Commentary, Conversation with Writers

2. Invited writers and works
1) Join of domestic and foreign writers such as Kim Jae-hyun, Seo Da-som, Ahn Min-ok, Yoon Seok-nam, and Lee Hae-min-seon
2) Curate customized works for each space and plan special exhibitions

3. Experience and exchange programs
1) Field Workshop ??Media Art, Installation Experience, etc
2) Talk show and open studio ??writer-viewer exchange venue

4. Key information
- Schedule: March 14 to April 20, 2025  
- Venues: Gangneung Station, Okcheon-dong Warehouse, Gangneung Daehobu Office, etc  
- Admission: Free  
""",2025.09.01,2025.09.14,Gangwon,Gangneung Art Center Area,37.798661,128.851386,free,Gangneung City Hall,033-640-5049,http://giartfestival.com/,550,"Food,Culture,Spring,Music/Show,Nature,Heritage,Join"
38th Donghae Mureung Festival,"Held in Donghae City, Gangwon Province, the Mureung Festival is the largest festival in Donghae City that yearns for harmony and prosperity of the citizens of the East Sea, and has been held at the beginning of Autumn since 1984 using the name of Mureung Valley, the first scenic spot in Donghae City. This year's Mureung Festival will be held under the slogan of ""??different Donghae, Palette Festival"" with the aim of shining the festival in a variety of colors with the beautiful four seasons of Donghae City. Donghae Mureung Festival is one of the representative traditional historical folk festivals in the region, and it is an event that incorporates geographical characteristics.
[Contents of the event]
1. a festival event
- a ritual for mountain gods and good harvest (a ritual for good harvest)

2. a performance event
- International Friendship Exchange Performance (Chulseong Dance Company), Opening Ceremony, Opening Performance, Dronelight Show, Romantic Concert Smile Day Comedy Show, DMF Dance Festival, Generational Sympathy Concert, Donghae Song Festival (Duet Song Festival), Citizen Parade

3. a folk event
- Traditional folk games (gigi, yut game, jegichagi, tuho game), folk nongak

4. cultural and artistic events
- Mureung Sasaeng Competition, Mureung Baekilhwa Exhibition, Senior Exhibition, 27th Donghae Art Festival

5. Experience/promotional events
- Food tasting experience center, folk experience center, well-being experience center, urban regeneration promotion center, planning experience center, institution, organization and corporate promotion center

6. a planned event
- Donghae Love Receipt Tour, Photo Zone, etc

??Only some festival food information has been uploaded, and please check the festival website for more food information.",2025.09.25,2025.09.28,Gangwon,Donghae Well-being Sports Town Area,37.517506,129.101423,free,Donghae City Hall,033-539-8690,https://dhfesta.or.kr/dmrf/,840,"Food,Culture,Music/Show,Nature,Heritage,Specialty,Join"
32nd Taebaeksan Snow Festival,"""The Taebaeksan Snow Festival, which began in 1994, is a representative winter festival in Taebaeksan, which is famous for its abundant resources and beautiful natural scenery. Every year, snow sculptures are exhibited under a new theme to give newness and enjoyment to tourists who see them, and programs for citizens to participate by holding a climbing competition where tourists can participate by taking advantage of the beauty of Taebaeksan Mountain.
[Contents of the event]
1. Main programs: Opening ceremony, catch!tipping arcade zone, world university student sculpture competition, Taebaeksan snowflake climbing competition
2. Supplementary program: Hwang Ji Pond Starlight Festa!
3. Consumer Join Programs: Snow sledding, rotating snow sledding, snowflake train, winter sports experience, wish lantern, wish tree making, etc
4. Other information: Food programs such as street stalls are not operated to protect and link local commercial areas.""",2025.02.07,2025.02.16,Gangwon,Taebaeksan National Park Area,37.116436,128.949309,free,Taebaek City Hall,033-550-2349,https://tbsnow.co.kr/,1264,"Winter,Food,Nature,Specialty,Join"
Samcheok Garden Full Moon Festival,"Samchuk Jeongwol Daeboreum Festival is a festival that includes ceremonies to pray for good luck, good harvest, and traditional folk games for the heavenly gods, earth gods, and sea gods, with Samcheok's unique flag-tug held during the Lunar New Year's Eve in 1973. The Samcheok flag-tug, designated as Gangwon Province's Intangible Cultural Property No. 2 in 1976, has been expanded and developed as a pan-national festival since the 6th event in 1978, but it was suspended due to Typhoon Rusa Maei and others from 2003 to 2006. The name has been changed to Samcheok Jeongwol Daeboreum Festival since 2007 and has been hosted by the Samcheok Jungwol Daeboreum Festival Committee and organized by the Samcheok Cultural Center. This year, the 10th anniversary of the listing of the Samcheok flag-tug, which is a UNESCO Intangible Cultural Heritage of Humanity, will welcome citizens and tourists with many events such as the Gangwon State flag-tug competition.
[Contents of the event]
1. Opening Event - New Year's wish road play, pre-ceremony performance, opening ceremony, opening celebration performance (MBC song best), drone light show
2. Ritual Events-Shinmok Mosigi, Sanshinje, Sajikje, Cheonshinje, Haeshinje
3. Cultural Heritage Events-Sulbi Nori, Baby Whispering Tug, Whispering Tug, Medium Tug, Waiting Tug 1, 2
4. Folk Play Event-Byeolsingutpan, arm wrestling competition, chicken fight competition, yutnori competition, mangwolnori, and daljip burning
5. Celebration - Samchuk Jeongwol Daeboreum Singing Contest, Samcheok Jeongwol Daeboreum Flag Tug Contest, Sangwon Mucheon, and Samcheok Flag Tug 10th Anniversary Celebration (Gangwon State Tug of Tug)
6. Experience events - Folk games, customs, hanboks and traditional costumes, traditional tea tasting, traditional food tasting, family wishes writing, group jumping competition, kkotgi, memory play, night torch tug-of-war
7. Performance-Local singer performance, fighting father Taekwondo performance, transformational play performance, atmospheric play performance, spirit of fire (fire show)
8. Incidental events and facilities - flash mob, moonlit street lighting ceremony, smartphone photo contest, moonhouse landscape lighting installation, events to promote local seafood consumption, popular character parade and playtime (photo zone) ",2025.02.14,2025.02.16,Gangwon,Expo Plaza and Samcheok Beach Area,37.441111,129.162856,free,Samcheok City Hall,033-570-3225,http://www.fullmoonfestival.or.kr/,780,"Family,Food,Culture,Music/Show,Nature,All Ages,Heritage,Specialty,Join"
Samcheok Rose Festival,"""It is the representative rose flower festival in Samcheok, and the Samcheok Rose Festival will be held at the nation's largest rose park with 10 million roses. In Samcheok's beautiful nature, you can build pleasant memories in a garden that tells the story of 10 million roses. Participatory content, markets, and various performances and events can be enjoyed by adults and children of. It will also showcase high-quality and colorful programs that provide pleasant memories to local residents and tourists. It is not just an exhibition that has been presented so far, but this year, it will be designed so that anyone can come and enjoy contents full of rose scent.
[Contents of the event]
1. Main program: Opening ceremony and celebratory performance, garden by theme, mission execution program
2. Supplementary programs: Black Eagles Air Show, Busking, Fringe Performance and more
3. Other content: Rose Flower & Flea Market, Sihwa Exhibition, etc.""",2025.05.23,2025.06.01,Gangwon,Samcheok Rose Park,37.433523,129.178049,free,Samcheok City Hall,033-570-3081,https://www.samcheok.go.kr/tour/01459/01511/02288.web?amode=view&idx=9&cpage=2,800,"Family,Adult,Children,Music/Show,Nature,All Ages,Specialty,Join"
13th Hongcheon River Frozen Festival,"Every January, the Hongcheon River Kkong Festival with ginseng trout is held in Hongcheon, Gangwon-do. You can experience ice fishing that can be easily enjoyed by men and women of, catch trout with bare hands, and see and fish with your eyes, which is a popular place for children. This year, there are also super ginseng trout with a body length of more than 45 centimeters. In addition, there are a variety of food and entertainment such as an indoor family experience center, a snow sledding area, a grasshopper house scenery where you can feel the atmosphere of the countryside, a winter folk playground, and a local restaurant.
[Contents of the event]
1. a hands-on event
- Ice fishing, tent fishing, pugyo fishing, indoor fishing, catching trout with bare hands, etc

2. amusement facilities
- Snow sledding, folk sledding, ice wall experience, etc

3. a sales event
- Raw fish center, local restaurant, outdoor restaurant, agricultural and special products, etc

4. a side event
- Opening ceremony, DJ booth, stage performance, lucky draw, etc

5. a promotional exhibition event
- Tourist information center, corporate promotion center, photo contest, etc",2025.01.18,2025.02.01,Gangwon,Hongcheon Riverside Area,37.687264,127.88166,free,Hongcheon County Office,033-430-2472,https://xn--9y5b95fmvab9w.kr/Home/H60000/festival,2000,"Family,Winter,Food,Children,Music/Show,Nature,All Ages,Heritage,Specialty,Join"
